"gene_name" "rank"
"UBLCP1" "UBLCP1" -4.1313750967455
"GNPTG" "GNPTG" 4.126347490381
"C12orf43" "C12orf43" 4.11979059997931
"NUP54" "NUP54" -4.11975860665672
"CPSF3" "CPSF3" -4.11394965300833
"ABHD14B" "ABHD14B" 4.09330084715237
"LMNB1" "LMNB1" -4.08786832428237
"POLR2L" "POLR2L" 4.08463787309872
"RMND5B" "RMND5B" 4.08051759360909
"NFE2L2" "NFE2L2" -4.07905599851876
"SLC41A3" "SLC41A3" 4.07858898454502
"RARS1" "RARS1" -4.05268893327993
"AC083799.1" "AC083799.1" -4.05114906810953
"ADTRP" "ADTRP" 4.04608182308061
"GGNBP2" "GGNBP2" -4.04075743774211
"TGFBRAP1" "TGFBRAP1" 4.03531935464361
"CAPZA1" "CAPZA1" -4.03504533323129
"BIRC3" "BIRC3" -4.01983527462805
"AC087292.2" "AC087292.2" -4.01443079120833
"AC093010.3" "AC093010.3" -4.00768959583387
"SPRY1" "SPRY1" 4.00252735536338
"AC099329.1" "AC099329.1" 3.99765892059873
"AXIN1" "AXIN1" 3.9961235262565
"AC005944.1" "AC005944.1" 3.98697569463048
"MAN2A2" "MAN2A2" 3.98195698501828
"FBXO46" "FBXO46" 3.98137532199298
"GPBP1L1" "GPBP1L1" -3.98101832880872
"LARP7" "LARP7" -3.97819315671621
"CIC" "CIC" 3.95417387540116
"POMGNT2" "POMGNT2" 3.95107740739946
"DPH2" "DPH2" 3.95103446358957
"VRK1" "VRK1" -3.94780191404267
"MGAT4B" "MGAT4B" 3.94403798199166
"NRDC" "NRDC" -3.94159077751697
"ARHGEF34P" "ARHGEF34P" 3.94017771337546
"PAK1IP1" "PAK1IP1" -3.94006896687004
"PACS2" "PACS2" 3.93170309028273
"ANXA6" "ANXA6" -3.92322072795594
"AL035587.2" "AL035587.2" 3.92207631234115
"TRMT2A" "TRMT2A" 3.91969531845951
"P2RY11" "P2RY11" 3.91666467451154
"ANKRD13D" "ANKRD13D" 3.90924091209162
"GTF2B" "GTF2B" -3.90771082642124
"ZNF17" "ZNF17" -3.90528893497
"PSMC6" "PSMC6" -3.90300529236457
"TOMM70" "TOMM70" -3.89509406433801
"GRSF1" "GRSF1" -3.89469731943384
"IRF2BP2" "IRF2BP2" 3.89411703319198
"UQCC2" "UQCC2" 3.8938312810426
"CCDC174" "CCDC174" -3.87245580021806
"TRAPPC13" "TRAPPC13" -3.87236363192287
"TIMM44" "TIMM44" 3.8720655587813
"PRMT9" "PRMT9" -3.86250970258157
"AL137857.1" "AL137857.1" -3.85947109432686
"LUC7L2" "LUC7L2" -3.84610509765763
"MFHAS1" "MFHAS1" 3.84525620960416
"CENPJ" "CENPJ" -3.84136093496125
"DEK" "DEK" -3.8403846671881
"AGPAT1" "AGPAT1" 3.8349656717483
"SGO2" "SGO2" -3.82820924779087
"SPP1" "SPP1" -3.82145475296154
"FLYWCH1" "FLYWCH1" 3.819626361685
"ARHGAP15" "ARHGAP15" -3.81815979559078
"ERCC5" "ERCC5" -3.81632257168386
"COP1" "COP1" -3.81565887740225
"PSMC2" "PSMC2" -3.81373798127537
"MMP12" "MMP12" -3.80769547740569
"FAM193A" "FAM193A" 3.7871290083554
"METTL18" "METTL18" -3.77120259895074
"KLC2" "KLC2" 3.7690766686581
"EGFL7" "EGFL7" 3.76643976649912
"EIF1AX" "EIF1AX" -3.75858715787856
"AC006027.1" "AC006027.1" -3.75745295333598
"MNDA" "MNDA" -3.75236797189718
"E2F4" "E2F4" 3.75031581188522
"DDX52" "DDX52" -3.74827419943567
"RAE1" "RAE1" -3.74483758497958
"AC108863.2" "AC108863.2" -3.73926017443414
"SMYD5" "SMYD5" 3.73840769618894
"UBA3" "UBA3" -3.73596185330403
