"gene_name" "rank"
"OTOAP1" "OTOAP1" 1.51593170700649
"ZNF500" "ZNF500" 1.5156741100451
"CCT8" "CCT8" -1.51563647851057
"ZNF524" "ZNF524" 1.51450641433919
"FIG4" "FIG4" -1.51443579927314
"KIF11" "KIF11" -1.51416675465579
"PCSK7" "PCSK7" 1.51414929712916
"NPIPP1" "NPIPP1" -1.51256984182014
"RPL15" "RPL15" 1.51214385229147
"CWC15" "CWC15" -1.51193275824353
"DAGLB" "DAGLB" 1.51192737181313
"JPH4" "JPH4" 1.5118183615351
"DLEC1" "DLEC1" 1.51130892139417
"MRPL10" "MRPL10" 1.50990967431681
"KIAA0319" "KIAA0319" 1.50915643101871
"ZNF420" "ZNF420" -1.50896893165299
"KBTBD8" "KBTBD8" -1.50870711593448
"BOP1" "BOP1" 1.50825246013462
"AP000648.4" "AP000648.4" 1.50818103485341
"BAZ1A-AS1" "BAZ1A-AS1" -1.50774485435988
"SDCBP2-AS1" "SDCBP2-AS1" 1.50696558923992
"UQCRFS1" "UQCRFS1" -1.50681472813223
"KPNA6" "KPNA6" 1.50651343555099
"PRAL" "PRAL" -1.50646250234673
"AC002094.2" "AC002094.2" -1.50642612193084
"TRAF3" "TRAF3" 1.50633072742343
"PLEKHF2" "PLEKHF2" -1.5059441836703
"NUDT9" "NUDT9" 1.5054616584264
"RBAK" "RBAK" -1.50534284533092
"USP32P2" "USP32P2" 1.50485908546751
"NDUFA3" "NDUFA3" 1.50462136230896
"ZNF791" "ZNF791" -1.50454180899512
"ANXA4" "ANXA4" 1.50424859007484
"RTCA" "RTCA" -1.50339386086766
"CLCN4" "CLCN4" 1.50327039932966
"IL2RA" "IL2RA" -1.50256212620081
"FAM222B" "FAM222B" 1.50208319637045
"GHRLOS" "GHRLOS" 1.50182933173569
"HS6ST1" "HS6ST1" 1.50159509336508
"AFG3L2" "AFG3L2" -1.50154932544314
"CACTIN" "CACTIN" 1.50088148895104
"AC093909.6" "AC093909.6" -1.50049858331739
"GLTP" "GLTP" 1.5000342685906
"RACK1" "RACK1" 1.4998237731607
"POLR2J4" "POLR2J4" 1.49948898687601
"ACSS3" "ACSS3" -1.499462759432
"LMAN2" "LMAN2" 1.49932336017545
"AC015813.6" "AC015813.6" -1.49921840688503
"RPS26" "RPS26" 1.49911050597565
"REXO1" "REXO1" 1.4982808258666
"AC147067.1" "AC147067.1" 1.4978684186642
"LRRC29" "LRRC29" 1.49675078435599
"EHD4" "EHD4" -1.49671553271477
"TBL1XR1" "TBL1XR1" -1.496280239177
"AC007620.2" "AC007620.2" -1.49593696174512
"ZC3H10" "ZC3H10" 1.49590307782005
"SDHD" "SDHD" -1.49540398365744
"ARF5" "ARF5" 1.49511666388289
"TOP3A" "TOP3A" 1.49498120042737
"ATG4D" "ATG4D" 1.49414788394866
"KIF5B" "KIF5B" -1.49379533184567
"PSMC1" "PSMC1" -1.49261916783783
"FBXO30" "FBXO30" -1.49231923802791
"GRIN3A" "GRIN3A" -1.49223402768496
"BAG5" "BAG5" -1.49182223791047
"AVIL" "AVIL" -1.49142690499948
"SLTM" "SLTM" -1.49133017257413
"AL928654.4" "AL928654.4" 1.49023265807301
"NSMF" "NSMF" 1.49014734587213
"DBF4" "DBF4" -1.48933293507369
"ACOD1" "ACOD1" -1.48923722747078
"IDE" "IDE" -1.48911760833051
"AL390066.3" "AL390066.3" 1.48908498330597
"AL138828.1" "AL138828.1" 1.48881055412225
"AL139424.3" "AL139424.3" 1.48829156147677
"TUBA4A" "TUBA4A" -1.48826851201738
"MRPL14" "MRPL14" 1.48815661679763
"PTER" "PTER" -1.48758401219123
"GNE" "GNE" 1.48757856734794
"ACTR10" "ACTR10" -1.48628499963362
"AC008875.3" "AC008875.3" -1.48597952325527
"NUP88" "NUP88" -1.48568571903458
"KDELR1" "KDELR1" 1.48509497713129
"AC093512.2" "AC093512.2" 1.4850545356339
"MACROH2A2" "MACROH2A2" -1.48497648714061
"KIAA1191" "KIAA1191" 1.48457540454978
"AC090181.3" "AC090181.3" 1.48444746557391
"ZDHHC18" "ZDHHC18" 1.48444736885906
"WFDC21P" "WFDC21P" -1.48421631606038
"SLFN12" "SLFN12" -1.48396023405421
"TXN2" "TXN2" 1.48381788130382
"FAM106A" "FAM106A" 1.48334521537939
"SLC43A3" "SLC43A3" -1.48308582197087
"HES6" "HES6" 1.48252425432236
"ZNF181" "ZNF181" -1.48232826481886
"EXOC2" "EXOC2" -1.48115720253064
"NPR1" "NPR1" -1.4811562689115
"TAF6L" "TAF6L" 1.48079087748102
"CARHSP1" "CARHSP1" 1.48038978110595
"MCM3AP" "MCM3AP" 1.47766215895495
"MRPS2" "MRPS2" 1.47739751178972
"AKAP9" "AKAP9" -1.47730949416594
"AL157935.3" "AL157935.3" 1.47704566781695
"RAD1" "RAD1" -1.47658600068104
"CCDC144B" "CCDC144B" 1.47634458938917
"FAM3A" "FAM3A" 1.47588295705241
"SCAMP4" "SCAMP4" 1.47553655808263
"PGS1" "PGS1" 1.47522404892388
"RPPH1" "RPPH1" 1.4747008750865
"ZNF236" "ZNF236" 1.47452804534802
"CNOT4" "CNOT4" -1.47446821959134
"VPS26C" "VPS26C" 1.47412341141287
"FRG1CP" "FRG1CP" -1.47400668688109
"PPP1R10" "PPP1R10" -1.47320453264659
"GPALPP1" "GPALPP1" -1.47313390150796
"PDSS1" "PDSS1" -1.47296523628463
"FYN" "FYN" -1.47290531456836
"AC005261.6" "AC005261.6" 1.47243025929578
"INTS7" "INTS7" -1.47222148636548
"RAD17" "RAD17" -1.47204912539017
"DNAJA2" "DNAJA2" -1.47183647236388
"MAN2A1" "MAN2A1" -1.47150824241386
"SYNPO" "SYNPO" -1.47125942128914
"PDE6B" "PDE6B" 1.47105516765561
"C1orf162" "C1orf162" -1.47071604976363
"GSTP1" "GSTP1" 1.4703877004475
"CTIF" "CTIF" 1.46992141598635
"CD40" "CD40" -1.4698957031714
"ZNF131" "ZNF131" -1.46963239968659
"TCF7L2" "TCF7L2" 1.46943293734733
"ACTR2" "ACTR2" -1.46940593164191
"CTAGE15" "CTAGE15" 1.46823791401538
"FBXO45" "FBXO45" -1.46780744359041
"NIPA2" "NIPA2" -1.46755399385731
"TMEM259" "TMEM259" 1.46638595628214
"CTNNBIP1" "CTNNBIP1" 1.46633413960454
"SLC25A20" "SLC25A20" -1.46608646108189
"HLA-F-AS1" "HLA-F-AS1" 1.4652803096696
"CARS1" "CARS1" 1.46481484674845
"TYSND1" "TYSND1" 1.46434435437749
"CRLS1" "CRLS1" -1.4640647665295
"PARP8" "PARP8" -1.46403601634634
"TGM1" "TGM1" -1.46356769184722
"CAMLG" "CAMLG" -1.46346631272592
"TSR3" "TSR3" 1.46323561091336
"UQCRC1" "UQCRC1" 1.46297416047314
"IRF2" "IRF2" -1.46245920737253
"APOL3" "APOL3" -1.46161680533214
"RALGAPA1" "RALGAPA1" -1.46122979494571
"SRF" "SRF" 1.4610441789919
"LINC00624" "LINC00624" 1.4608675510527
"ANKRD6" "ANKRD6" 1.46066328776751
"WAPL" "WAPL" -1.4592933600112
"FAHD2A" "FAHD2A" 1.4589708342772
"UNC45A" "UNC45A" 1.45859004443901
"VPS26A" "VPS26A" -1.45843078972769
"CBWD3" "CBWD3" -1.45818526592443
"SLMAP" "SLMAP" -1.45793963256907
"ZNF407-AS1" "ZNF407-AS1" -1.45753472773514
"ENSA" "ENSA" 1.45716330014203
"AC240274.1" "AC240274.1" 1.45671104853615
"MRPL24" "MRPL24" 1.45663458111408
"BIN3" "BIN3" 1.45660134630386
"ZFAND2B" "ZFAND2B" 1.45646239800209
"MAPK1IP1L" "MAPK1IP1L" 1.45645154787755
"SNX33" "SNX33" 1.45640293024918
"ZNF658B" "ZNF658B" -1.45612066157284
"ARL6IP5" "ARL6IP5" -1.45600327402504
"TVP23A" "TVP23A" -1.45547689760124
"TIMM23B-AGAP6" "TIMM23B-AGAP6" 1.45458949876382
"HENMT1" "HENMT1" -1.4545527496167
"FEM1A" "FEM1A" 1.45438705318036
"TMEM69" "TMEM69" -1.45421629610535
"MFSD10" "MFSD10" 1.45391616149913
"RNPS1" "RNPS1" 1.45351146126205
"AL161740.1" "AL161740.1" 1.45336833870979
"MFSD4B" "MFSD4B" 1.45205489387831
"MYL6B" "MYL6B" 1.45205091194448
"FAM157C" "FAM157C" 1.4520199519936
"CCDC86" "CCDC86" 1.45198553640842
"HSPBP1" "HSPBP1" 1.4511527993618
"AGAP1" "AGAP1" 1.45105988309843
"DCAF11" "DCAF11" 1.45082020197287
"ZNF829" "ZNF829" -1.4504559280285
"TUT4" "TUT4" -1.45037940303321
"ECT2" "ECT2" -1.4498289187681
"RAD50" "RAD50" -1.44897414628672
"ZDHHC7" "ZDHHC7" 1.44830575004823
"SCPEP1" "SCPEP1" -1.44825942347472
"SETD3" "SETD3" -1.44821333122366
"PTCD1" "PTCD1" 1.44803678680058
"CISD2" "CISD2" -1.44794920430096
"ATM" "ATM" -1.44792740584793
"CEP76" "CEP76" -1.44716918546784
"AL390728.6" "AL390728.6" -1.44645727385087
"SCRIB" "SCRIB" 1.44596246662901
"ZNF614" "ZNF614" -1.44578966947205
"SPPL2B" "SPPL2B" 1.44564646124794
"ZNF529" "ZNF529" 1.44563163845425
"FAM241A" "FAM241A" -1.4453057195173
"RBM15B" "RBM15B" 1.44523669257363
"MRM1" "MRM1" 1.44519755164663
"AL390066.2" "AL390066.2" 1.44506892974248
"DPM3" "DPM3" 1.44496658264443
"TARDBP" "TARDBP" -1.44441193469596
"CICP14" "CICP14" 1.4443500792092
"PPT1" "PPT1" -1.44416558047244
"ZNF684" "ZNF684" -1.44395481226324
"EPS8L1" "EPS8L1" 1.44335113711073
"OSBPL9" "OSBPL9" -1.44295294202145
"RDH12" "RDH12" 1.44234914690517
"PPIP5K2" "PPIP5K2" -1.44195406019859
"SCRN1" "SCRN1" -1.44119264947129
"ARRDC4" "ARRDC4" -1.44074953323402
"NEMP2" "NEMP2" 1.44072443641556
"PSIP1" "PSIP1" -1.4406270055253
"CNTRL" "CNTRL" -1.44062111737092
"ZNF671" "ZNF671" -1.43903354389508
"PSPH" "PSPH" 1.43890156042159
"CDCP1" "CDCP1" 1.43869340048293
"HSDL2" "HSDL2" -1.43829500883675
"CADM1" "CADM1" -1.43799549287249
"PNPLA2" "PNPLA2" 1.43769637514381
"UBR7" "UBR7" -1.437575141601
"CCL2" "CCL2" -1.43666329476612
"CCDC146" "CCDC146" -1.43665427242502
"ZNF222" "ZNF222" -1.43638653196791
"LAP3" "LAP3" -1.43616243414202
"ABCA6" "ABCA6" -1.43596966209025
"SDC3" "SDC3" 1.43592490767259
"ZNF384" "ZNF384" 1.43577791941342
"PPP1R9B" "PPP1R9B" 1.43522936844762
"CTSV" "CTSV" -1.43366419265861
"SCAF1" "SCAF1" 1.4319182755588
"TMEM222" "TMEM222" 1.43142783628623
"EXOSC6" "EXOSC6" -1.43047628811332
"RABL2A" "RABL2A" 1.43002842536686
"BLVRB" "BLVRB" 1.42895085060118
"SLC52A2" "SLC52A2" 1.4287065984602
"LILRA6" "LILRA6" 1.4287040438679
"C12orf4" "C12orf4" -1.42858762104543
"ARF6" "ARF6" -1.42855512439892
"CRACR2A" "CRACR2A" 1.4283562591825
"SH2B1" "SH2B1" 1.4280312150859
"PXK" "PXK" 1.4280082260614
"TTF1" "TTF1" -1.42764152867792
"WIPF1" "WIPF1" -1.42752212449406
"YIF1A" "YIF1A" 1.42714527042182
"BSDC1" "BSDC1" 1.42709435438686
"MTA2" "MTA2" -1.4270046020061
"VPS36" "VPS36" -1.4269967502855
"GIPC3" "GIPC3" -1.42697380093727
"GNPDA2" "GNPDA2" -1.42680565056927
"ZC3HAV1" "ZC3HAV1" -1.42647347882771
"TTC28" "TTC28" 1.42561655475432
"CNOT1" "CNOT1" -1.42503945126239
"CSNK2B" "CSNK2B" -1.42490514052347
"ZNF708" "ZNF708" -1.4249007834522
"FPR1" "FPR1" 1.4241759896467
"MAP3K11" "MAP3K11" 1.42399148258746
"SLC30A7" "SLC30A7" -1.42327758008969
"DCP2" "DCP2" -1.42322866337029
"SIGLEC22P" "SIGLEC22P" 1.42298785789586
"TNFSF13B" "TNFSF13B" -1.42297093253025
"C18orf54" "C18orf54" -1.42270682424535
"CCDC97" "CCDC97" 1.42245742518682
"TRA2B" "TRA2B" -1.42206255832956
"LSM12" "LSM12" -1.42187687580952
"TRMU" "TRMU" 1.42180686198233
"OSGEPL1" "OSGEPL1" -1.42180146397792
"INTS4" "INTS4" -1.42159703786981
"G3BP1" "G3BP1" 1.42114663986979
"SMG1P3" "SMG1P3" 1.41984143169441
"SLAMF1" "SLAMF1" -1.41983620544251
"TOR2A" "TOR2A" 1.41966730869513
"RNF115" "RNF115" -1.41931273028712
"SEMA6A" "SEMA6A" 1.41924023629604
"TRGV7" "TRGV7" 1.4192050466911
"MSANTD4" "MSANTD4" -1.41847134917369
"SVIL-AS1" "SVIL-AS1" 1.41832313419953
"SNX21" "SNX21" 1.41786409086029
"AGTPBP1" "AGTPBP1" -1.41713767660805
"ZNF383" "ZNF383" -1.4163311978938
"AZI2" "AZI2" -1.41602916885564
"USP32P1" "USP32P1" -1.41593990823347
"PLA1A" "PLA1A" -1.41589235938522
"GGCT" "GGCT" -1.41581264474823
"THAP8" "THAP8" 1.4156408114956
"PSTPIP1" "PSTPIP1" -1.41562228421418
"MAP7D3" "MAP7D3" -1.41560707477984
"ATP9A" "ATP9A" 1.41517318606091
"LINC00649" "LINC00649" -1.41514472066097
"CLPTM1L" "CLPTM1L" 1.41483899176579
"ATP6V1FNB" "ATP6V1FNB" -1.41448581606394
"C11orf45" "C11orf45" 1.41259815985459
"RASSF7" "RASSF7" 1.41210250419175
"ABHD8" "ABHD8" 1.41154627568734
"UQCRFS1P1" "UQCRFS1P1" 1.41124823661671
"NAP1L4P1" "NAP1L4P1" 1.41115180367469
"OTUB1" "OTUB1" 1.41030004203382
"NMB" "NMB" 1.41017707454704
"RTP4" "RTP4" -1.41008285743786
"MRPS25" "MRPS25" 1.41008220595616
"AL139099.2" "AL139099.2" -1.40962794876009
"RRP15" "RRP15" -1.40933345532089
"SRCIN1" "SRCIN1" 1.4089898781151
"BRMS1" "BRMS1" 1.4089514198998
"AOAH" "AOAH" -1.40882036153348
"C1orf52" "C1orf52" 1.40806800835438
"SCP2" "SCP2" -1.40585799681255
"PCNT" "PCNT" -1.40559715664791
"LRRC8B" "LRRC8B" -1.40457633936515
"JOSD2" "JOSD2" 1.40374136812099
"ACOT8" "ACOT8" 1.40355638187091
"DFFA" "DFFA" 1.4026098174218
"UBA52" "UBA52" 1.40201764811598
"AURKA" "AURKA" -1.40172576409491
"MPHOSPH8" "MPHOSPH8" -1.40009970679914
"GPSM2" "GPSM2" -1.3996966766122
"TYW5" "TYW5" -1.39955942324827
"ZSCAN21" "ZSCAN21" 1.39933773102346
"RAPGEF2" "RAPGEF2" -1.39932226985791
"PJA2" "PJA2" -1.39931974196538
"AATBC" "AATBC" 1.39924571156679
"ZNF773" "ZNF773" -1.3992429632236
"CEP63" "CEP63" -1.39916842221077
"LRRC20" "LRRC20" 1.39876670532868
"HERC6" "HERC6" -1.39850906141265
"HDAC5" "HDAC5" 1.39825159445306
"CNPY4" "CNPY4" 1.39823424980314
"AC006001.3" "AC006001.3" 1.39820080534755
"SPECC1" "SPECC1" -1.39793459088099
"HSD3B7" "HSD3B7" 1.39783130792658
"GEMIN7" "GEMIN7" 1.39589122206113
"ABCE1" "ABCE1" -1.3953441359026
"ROM1" "ROM1" 1.39489956092921
"IFT27" "IFT27" 1.39484221503321
"SLC35C1" "SLC35C1" 1.39478643188054
"TLCD2" "TLCD2" 1.39352668235129
"SETD4" "SETD4" -1.39229518843148
"DNAJC1" "DNAJC1" -1.39201884035618
"TPR" "TPR" -1.39180479155465
"GMFB" "GMFB" -1.3910225680017
"GALE" "GALE" 1.39102023446091
"THAP9-AS1" "THAP9-AS1" -1.39079637831503
"CYBC1" "CYBC1" -1.3903457262273
"RPL18AP3" "RPL18AP3" 1.39028033796086
"TNRC6C" "TNRC6C" 1.39017357684002
"DAG1" "DAG1" 1.38875673889284
"SPATA7" "SPATA7" -1.3887048150377
"COQ6" "COQ6" 1.38841721333626
"POLR2J" "POLR2J" 1.38834650060336
"CHI3L1" "CHI3L1" -1.38832467259546
"FBXL12" "FBXL12" 1.38825686824264
"NUP107" "NUP107" -1.38820764101067
"CHUK" "CHUK" -1.38817851607882
"NUP214" "NUP214" -1.38805038530856
"DEF8" "DEF8" 1.38799621341393
"AC132872.3" "AC132872.3" -1.38720482011081
"RANGRF" "RANGRF" 1.38592335767207
"THAP6" "THAP6" -1.38590935655252
"SNX24" "SNX24" -1.38581053170804
"NAA15" "NAA15" -1.38525302587007
"TTC5" "TTC5" 1.3838986818943
"C2CD5" "C2CD5" -1.38357227317646
"PRRC2C" "PRRC2C" -1.38352514756104
"RABGAP1L" "RABGAP1L" -1.38326623133547
"SRR" "SRR" -1.38296706651877
"FYB1" "FYB1" -1.38266480781585
"ZNF761" "ZNF761" -1.38220626663423
"PMM1" "PMM1" 1.38200057841687
"MAP4" "MAP4" -1.38116120942732
"CIZ1" "CIZ1" 1.38106295121063
"IARS2" "IARS2" -1.38103155551128
"MGLL" "MGLL" 1.38091095179873
"VWA7" "VWA7" 1.38061915325595
"EGR2" "EGR2" -1.38056244079495
"PDHB" "PDHB" -1.37984716392367
"CMTM6" "CMTM6" -1.37968582926457
"MIR3936HG" "MIR3936HG" 1.37956985026594
"REEP5" "REEP5" 1.37952224647524
"SS18L1" "SS18L1" 1.37873568128299
"CYBRD1" "CYBRD1" -1.37809982771714
"SLC35A1" "SLC35A1" -1.37796045454955
"GUCD1" "GUCD1" 1.37749894150075
"ZNF75A" "ZNF75A" -1.37740523332419
"STAG3L4" "STAG3L4" 1.3771050109029
"PIP4P1" "PIP4P1" 1.37637579555508
"EXOC3" "EXOC3" 1.37612675003916
"AKAP17A" "AKAP17A" 1.37595034007689
"PPP3R1" "PPP3R1" -1.37542893296484
"CLCN5" "CLCN5" 1.37530941754614
"CAPRIN2" "CAPRIN2" -1.37498905164684
"MKLN1" "MKLN1" -1.37494757782194
"ARL5B" "ARL5B" -1.37487062692894
"AL138756.1" "AL138756.1" 1.37411119484433
"AC027307.2" "AC027307.2" 1.37382467366164
"SHANK3" "SHANK3" 1.37361160240524
"ORC5" "ORC5" -1.37358438581015
"ATP6V1H" "ATP6V1H" -1.37347859085798
"YBX1P2" "YBX1P2" 1.37290482943294
"CALM2" "CALM2" -1.3728925224895
"CIAO2A" "CIAO2A" -1.37198235619845
"ZNF335" "ZNF335" 1.37191175473291
"TSHZ1" "TSHZ1" 1.37181318939874
"AL590133.2" "AL590133.2" 1.37149208145919
"STK16" "STK16" 1.37148646076703
"PTK2" "PTK2" 1.37141160790364
"ATAD3A" "ATAD3A" 1.37128690002481
"NFE2L3" "NFE2L3" -1.37094937116958
"DNAJA1" "DNAJA1" -1.3709403624225
"AC137932.3" "AC137932.3" 1.37072481821367
"WDR83OS" "WDR83OS" 1.37048086979734
"ZNF331" "ZNF331" 1.37023870670534
"BMP6" "BMP6" -1.36948068934389
"AC104532.2" "AC104532.2" 1.36806713708552
"CD226" "CD226" -1.3673958423918
"WDR53" "WDR53" -1.36732526995014
"PHF1" "PHF1" 1.3665285254038
"CEP135" "CEP135" -1.36625016001478
"TUBGCP4" "TUBGCP4" 1.36598655476517
"MAD2L2" "MAD2L2" 1.36593660565933
"CCNQ" "CCNQ" 1.36583099461107
"UMAD1" "UMAD1" -1.36536618276729
"NT5C3A" "NT5C3A" -1.36534396703593
"ZNF649" "ZNF649" -1.36497371665073
"IKBKGP1" "IKBKGP1" -1.3648400201019
"MAPRE1" "MAPRE1" -1.36435663161426
"AC011586.2" "AC011586.2" 1.36374021072442
"COQ8B" "COQ8B" 1.36164545955535
"LRRC34" "LRRC34" -1.3613493759239
"VBP1" "VBP1" -1.3610827522873
"TAF4" "TAF4" 1.36099468259615
"BCLAF1" "BCLAF1" -1.36090351929929
"CAPN15" "CAPN15" 1.36087859056917
"GGACT" "GGACT" 1.35989065369903
"LINC01410" "LINC01410" 1.35983665673148
"IMP4" "IMP4" 1.35880252737068
"ST3GAL6" "ST3GAL6" -1.3584640874889
"MIDEAS" "MIDEAS" 1.35748797857538
"RSAD1" "RSAD1" 1.3573775630707
"GIMAP2" "GIMAP2" -1.35734230398396
"IPO11" "IPO11" -1.35635398944945
"NFKBIB" "NFKBIB" 1.35581266944595
"ATP6V1C1" "ATP6V1C1" -1.35556391371913
"ANKRD52" "ANKRD52" 1.35550001297515
"FBXW8" "FBXW8" 1.35545490494281
"SBF2-AS1" "SBF2-AS1" 1.3552872090587
"GOLGB1" "GOLGB1" -1.35505999462243
"C4orf48" "C4orf48" 1.35501838770262
"FUS" "FUS" -1.35494309669588
"METTL7A" "METTL7A" -1.35443110071636
"EML6" "EML6" 1.35403849719739
"MIER1" "MIER1" -1.3539792728187
"AC010326.4" "AC010326.4" -1.35377236236261
"NFATC2IP" "NFATC2IP" 1.35353749179737
"HLA-G" "HLA-G" 1.35312914136416
"APPL1" "APPL1" -1.35266336300707
"C1orf43" "C1orf43" 1.35181839491942
"HMG20B" "HMG20B" -1.35145362467492
"RSPRY1" "RSPRY1" -1.35083810495101
"EIF1AD" "EIF1AD" 1.34985146503246
"NEURL4" "NEURL4" 1.3495550466682
"LRP1" "LRP1" 1.34926675917803
"ARL14EP" "ARL14EP" -1.34922831346282
"RASA2" "RASA2" -1.34889214198832
"USP42" "USP42" -1.34884527759924
"SLC25A6" "SLC25A6" 1.34882101934761
"PLCL2" "PLCL2" -1.34848824581335
"FAM83G" "FAM83G" 1.34834283299384
"ZKSCAN4" "ZKSCAN4" -1.34800986778784
"ZBTB25" "ZBTB25" 1.34740236098388
"ORMDL1" "ORMDL1" -1.34717560589541
"LINC02361" "LINC02361" 1.34695965631361
"ZNF718" "ZNF718" -1.34629132883129
"ZC3H3" "ZC3H3" 1.34602579066863
"CYP51A1" "CYP51A1" 1.34593473177585
"CHASERR" "CHASERR" -1.3458712644591
"SLF1" "SLF1" -1.34493616912031
"UGP2" "UGP2" -1.34483919539064
"MGRN1" "MGRN1" 1.34441737158978
"SPAG16" "SPAG16" -1.34322545402674
"ADCY3" "ADCY3" 1.34285849635949
"IPO7" "IPO7" -1.34283834521315
"SAMD1" "SAMD1" 1.34250422760714
"SMARCA5-AS1" "SMARCA5-AS1" 1.34241601981985
"NAXE" "NAXE" 1.34226127964043
"DPYSL3" "DPYSL3" 1.34190850103144
"WRNIP1" "WRNIP1" 1.34143107906808
"UBE2F" "UBE2F" -1.34141763395641
"STX1B" "STX1B" 1.34125492920617
"COPB2-DT" "COPB2-DT" 1.34062857991039
"YWHAH" "YWHAH" -1.34050092364727
"UQCRB" "UQCRB" -1.34031655133028
"CXCR6" "CXCR6" -1.34025365811717
"WDCP" "WDCP" -1.340066465099
"BZW2" "BZW2" -1.33994116834159
"AC004980.1" "AC004980.1" 1.33981807799996
"TET3" "TET3" 1.33922602838732
"MACF1" "MACF1" -1.33921339847598
"UBL3" "UBL3" -1.3391104310733
"MPHOSPH9" "MPHOSPH9" -1.33874761400541
"BTF3" "BTF3" -1.33847363587957
"SYNGAP1" "SYNGAP1" 1.33833554773244
"FEM1C" "FEM1C" -1.33693706127362
"AC132872.4" "AC132872.4" 1.33677281773762
"STT3B" "STT3B" -1.33676340022002
"YARS2" "YARS2" -1.33672934403713
"SP4" "SP4" -1.33640335826053
"PEX11B" "PEX11B" -1.33640245767726
"ATP5IF1" "ATP5IF1" -1.33575738751457
"AP3M1" "AP3M1" -1.33561095284632
"ANKRD39" "ANKRD39" 1.3350292871082
"CAND1" "CAND1" -1.33496018624599
"WASH7P" "WASH7P" 1.33441194897221
"FADS1" "FADS1" 1.33435597287229
"RALGAPA2" "RALGAPA2" 1.33358058469423
"EIF2S2" "EIF2S2" -1.33329360904793
"TBPL1" "TBPL1" -1.3322978138406
"MZT2B" "MZT2B" 1.33210811492928
"FRG1BP" "FRG1BP" -1.33198884729844
"PLEKHM1" "PLEKHM1" 1.33191131743208
"BLOC1S3" "BLOC1S3" -1.33180196212804
"SHTN1" "SHTN1" -1.33167042579278
"HAUS2" "HAUS2" -1.3314329218226
"CTBP1-AS" "CTBP1-AS" 1.33113456005271
"NPM1P27" "NPM1P27" 1.33106952641682
"ZBTB22" "ZBTB22" 1.33090508158706
"ZNF441" "ZNF441" -1.33036712993508
"CLEC4A" "CLEC4A" -1.33032605275725
"MYOF" "MYOF" -1.33013928382659
"CRYBG3" "CRYBG3" -1.33007294977643
"ANKRD46" "ANKRD46" -1.32897782674372
"BTG2" "BTG2" -1.32862690926847
"IL13RA1" "IL13RA1" -1.32851904254747
"GLO1" "GLO1" -1.32839325350176
"RAD23A" "RAD23A" 1.32810269111825
"MBLAC1" "MBLAC1" 1.32770020379409
"AC127502.1" "AC127502.1" 1.32767373753565
"AP3S2" "AP3S2" -1.32767086767811
"AC087854.1" "AC087854.1" 1.32685984272865
"IL10" "IL10" -1.3257821783014
"PITPNB" "PITPNB" -1.3257434765245
"FZD7" "FZD7" 1.32554553506549
"RDH10" "RDH10" 1.32541835102101
"POLR3C" "POLR3C" -1.32540512134464
"RPUSD3" "RPUSD3" 1.32470523178076
"PDLIM1P4" "PDLIM1P4" 1.32429214883959
"RFTN1" "RFTN1" -1.32396560187948
"DGKG" "DGKG" -1.3238685988481
"BRPF3" "BRPF3" 1.32269904827336
"HSP90AA1" "HSP90AA1" -1.32214892287718
"EZH2" "EZH2" -1.32177817217718
"AC060766.1" "AC060766.1" -1.32158301130497
"ZNF609" "ZNF609" 1.32150809572255
"MARK2" "MARK2" 1.32120297639714
"SLC1A4" "SLC1A4" -1.32084921852244
"JOSD1" "JOSD1" 1.32075335528809
"EFR3A" "EFR3A" -1.32055441835353
"LHFPL5" "LHFPL5" 1.32047538433001
"PWWP2B" "PWWP2B" 1.32002072470271
"TRAP1" "TRAP1" 1.3200202944222
"AL122035.2" "AL122035.2" -1.31945903956874
"TTBK2-AS1" "TTBK2-AS1" -1.31932941778534
"FAM53B" "FAM53B" 1.31861146793358
"MAPK3" "MAPK3" 1.31835219589015
"MMP25-AS1" "MMP25-AS1" -1.3183081220826
"SRSF11" "SRSF11" -1.3182723464539
"TMX2P1" "TMX2P1" 1.31819637235793
"ATP2B1-AS1" "ATP2B1-AS1" 1.31815619210506
"KLHL22" "KLHL22" 1.31806499994273
"PRIMPOL" "PRIMPOL" -1.31789946010569
"SESN3" "SESN3" -1.31771962705498
"BCAS2" "BCAS2" -1.31731302822113
"CROCCP3" "CROCCP3" 1.31702194447483
"ZNF432" "ZNF432" -1.31570631032202
"TRAPPC1" "TRAPPC1" 1.31462717561531
"PALS1" "PALS1" -1.31439287628803
"GSS" "GSS" 1.31384137328427
"FUBP3" "FUBP3" 1.31369334394162
"ILVBL" "ILVBL" 1.31338611590284
"SRSF4" "SRSF4" -1.31287409553111
"PICALM" "PICALM" -1.31278543947024
"IFI44" "IFI44" -1.31245983422784
"TRIM23" "TRIM23" -1.31243651448543
"DIPK2A" "DIPK2A" -1.31150155805417
"PIH1D1" "PIH1D1" 1.31120015064296
"NID1" "NID1" -1.31086110101799
"NPC2" "NPC2" 1.31063591314522
"SNAP47" "SNAP47" 1.31022358076889
"ANKRD1" "ANKRD1" -1.30972194647323
"AC068473.5" "AC068473.5" -1.30872775470498
"ATG9A" "ATG9A" 1.30849547422767
"LAD1" "LAD1" -1.30838434146812
"ARHGAP35" "ARHGAP35" 1.30833895188195
"PRPF39" "PRPF39" -1.30770817052969
"C5orf15" "C5orf15" -1.3063482041963
"ZNF675" "ZNF675" -1.30609299679554
